order_id,customer_id,order_date,status
1,102,2023-06-13,Shipped
2,4648,2023-11-26,Shipped
3,3829,2023-07-06,Shipped
4,1943,2023-10-14,Shipped
5,3276,2023-01-30,Processing
6,3894,2023-12-17,Shipped
7,1592,2023-07-27,Shipped
8,2112,2023-08-20,Processing
9,4233,2023-07-09,Processing
10,3964,2023-03-24,Cancelled
11,3476,2023-10-04,Cancelled
12,100,2023-11-13,Shipped
13,4828,2023-04-22,Shipped
14,4904,2023-12-10,Delivered
15,442,2023-01-31,Shipped
16,2692,2023-09-06,Shipped
17,568,2023-09-27,Processing
18,3282,2023-09-22,Cancelled
19,1019,2023-06-19,Processing
20,2100,2023-11-13,Delivered
21,1616,2023-12-21,Cancelled
22,4397,2023-03-02,Cancelled
23,1596,2023-04-23,Delivered
24,1702,2023-10-10,Delivered
25,511,2023-08-28,Cancelled
26,2222,2023-02-19,Cancelled
27,1882,2023-10-05,Processing
28,858,2023-02-16,Cancelled
29,1893,2023-01-29,Shipped
30,4361,2023-07-17,Cancelled
31,4614,2023-11-23,Delivered
32,3800,2023-01-28,Shipped
33,2610,2023-09-15,Shipped
34,2333,2023-01-03,Cancelled
35,2184,2023-11-11,Delivered
36,571,2023-07-30,Processing
37,3989,2023-12-22,Processing
38,3670,2023-02-16,Delivered
39,2256,2023-05-17,Shipped
40,626,2023-11-11,Cancelled
41,690,2023-08-22,Delivered
42,682,2023-05-15,Shipped
43,1821,2023-06-09,Delivered
44,4943,2023-04-27,Shipped
45,1920,2023-01-05,Processing
46,4873,2023-05-21,Shipped
47,1569,2023-07-26,Cancelled
48,2425,2023-09-30,Cancelled
49,3091,2023-03-19,Cancelled
50,4910,2023-10-19,Processing
51,62,2023-02-02,Cancelled
52,3530,2023-02-05,Delivered
53,3859,2023-06-10,Processing
54,4991,2023-03-14,Shipped
55,2249,2023-06-10,Cancelled
56,481,2023-11-26,Delivered
57,475,2023-06-10,Cancelled
58,1722,2023-05-28,Delivered
59,3480,2023-07-23,Delivered
60,1584,2023-05-25,Delivered
61,2520,2023-05-16,Cancelled
62,2303,2023-09-26,Shipped
63,748,2023-12-21,Shipped
64,2398,2023-07-06,Shipped
65,4297,2023-09-21,Delivered
66,2960,2023-09-17,Cancelled
67,3323,2023-05-09,Delivered
68,1040,2023-10-27,Processing
69,4972,2023-07-01,Shipped
70,1534,2023-02-07,Cancelled
71,3466,2023-12-19,Shipped
72,4892,2023-09-07,Processing
73,1789,2023-07-15,Processing
74,1395,2023-09-23,Delivered
75,1690,2023-08-26,Processing
76,2407,2023-12-15,Shipped
77,3272,2023-11-09,Cancelled
78,4568,2023-03-10,Processing
79,4832,2023-06-29,Shipped
80,1850,2023-12-08,Delivered
81,3032,2023-10-03,Shipped
82,2598,2023-12-03,Cancelled
83,4487,2023-10-21,Delivered
84,1263,2023-08-22,Processing
85,4296,2023-04-15,Cancelled
86,3117,2023-03-26,Processing
87,3030,2023-09-15,Delivered
88,4042,2023-01-17,Cancelled
89,2679,2023-03-13,Shipped
90,2955,2023-02-21,Cancelled
91,3761,2023-06-07,Cancelled
92,4304,2023-02-20,Cancelled
93,3900,2023-11-06,Delivered
94,2211,2023-12-30,Shipped
95,4903,2023-03-07,Delivered
96,3170,2023-03-11,Shipped
97,4065,2023-02-22,Shipped
98,936,2023-11-27,Delivered
99,3536,2023-11-12,Processing
100,3402,2023-09-15,Processing
101,2086,2023-08-08,Processing
102,4887,2023-03-02,Delivered
103,3936,2023-08-10,Cancelled
104,547,2023-06-23,Shipped
105,3498,2023-02-10,Shipped
106,38,2023-07-13,Cancelled
107,2367,2023-11-02,Processing
108,717,2023-01-04,Processing
109,215,2023-08-30,Delivered
110,1821,2023-01-14,Processing
111,3870,2023-06-04,Processing
112,619,2023-02-17,Processing
113,1248,2023-12-18,Delivered
114,4178,2023-12-02,Cancelled
115,403,2023-04-15,Cancelled
116,4001,2023-02-16,Cancelled
117,4518,2023-03-03,Cancelled
118,4593,2023-03-16,Shipped
119,3140,2023-03-02,Cancelled
120,243,2023-02-25,Processing
121,1016,2023-11-24,Delivered
122,933,2023-09-04,Cancelled
123,3665,2023-01-11,Shipped
124,331,2023-11-19,Delivered
125,3616,2023-06-24,Cancelled
126,3507,2023-01-05,Shipped
127,1239,2023-12-09,Shipped
128,1884,2023-01-29,Processing
129,60,2023-05-23,Processing
130,2081,2023-06-09,Delivered
131,1804,2023-01-04,Cancelled
132,1960,2023-08-23,Processing
133,3385,2023-07-20,Delivered
134,1612,2023-12-16,Delivered
135,2886,2023-05-31,Shipped
136,2825,2023-08-28,Processing
137,4874,2023-01-19,Cancelled
138,4696,2023-08-08,Cancelled
139,1760,2023-02-27,Cancelled
140,4308,2023-08-01,Processing
