transaction_id,sale_date,customer_id,amount,channel
Q1-00001,2023-02-02,1521,425.26,In-Store
Q1-00002,2023-03-25,1041,409.99,Phone
Q1-00003,2023-02-17,2058,136.7,Online
Q1-00004,2023-03-07,534,256.41,In-Store
Q1-00005,2023-01-30,967,365.25,Phone
Q1-00006,2023-01-03,4482,205.67,Phone
Q1-00007,2023-02-21,951,311.33,Online
Q1-00008,2023-02-05,3711,159.68,In-Store
Q1-00009,2023-03-31,551,374.68,Online
Q1-00010,2023-01-20,1272,68.69,In-Store
Q1-00011,2023-01-10,2212,197.33,In-Store
Q1-00012,2023-01-06,254,192.09,Phone
Q1-00013,2023-02-17,3434,328.43,Online
Q1-00014,2023-03-28,4664,63.2,Phone
Q1-00015,2023-02-10,3007,289.91,Phone
Q1-00016,2023-01-13,4447,255.24,Online
Q1-00017,2023-03-02,1738,30.34,Online
Q1-00018,2023-01-29,2351,141.35,In-Store
Q1-00019,2023-02-27,410,478.21,Phone
Q1-00020,2023-03-14,4857,233.52,Phone
Q1-00021,2023-02-21,1855,73.58,In-Store
Q1-00022,2023-03-30,3036,30.26,Online
Q1-00023,2023-03-19,1234,58.77,Phone
Q1-00024,2023-01-07,3959,25.91,In-Store
Q1-00025,2023-02-13,4747,227.16,Phone
Q1-00026,2023-01-03,3358,246.17,Phone
Q1-00027,2023-02-04,54,225.19,Phone
Q1-00028,2023-02-23,1005,370.55,Phone
Q1-00029,2023-02-23,2979,190.31,Online
Q1-00030,2023-03-08,4290,53.69,In-Store
Q1-00031,2023-03-31,3228,7.09,Online
Q1-00032,2023-03-12,1442,399.12,Phone
Q1-00033,2023-01-22,1800,90.53,In-Store
Q1-00034,2023-01-10,1998,250.27,In-Store
Q1-00035,2023-02-15,2239,140.0,Online
Q1-00036,2023-02-27,4578,374.42,In-Store
Q1-00037,2023-03-03,2282,21.01,In-Store
Q1-00038,2023-03-23,4734,45.49,In-Store
Q1-00039,2023-02-27,2732,318.91,Online
Q1-00040,2023-02-17,3840,398.1,Phone
Q1-00041,2023-01-31,2267,187.04,In-Store
Q1-00042,2023-01-16,1902,347.75,Phone
Q1-00043,2023-02-25,2533,311.31,Online
Q1-00044,2023-02-06,2659,496.55,Phone
Q1-00045,2023-03-11,4709,24.08,Online
Q1-00046,2023-03-06,2346,202.34,Phone
Q1-00047,2023-03-31,3235,171.46,Phone
Q1-00048,2023-01-12,253,412.71,Phone
Q1-00049,2023-03-24,869,42.37,Phone
Q1-00050,2023-02-11,4777,16.56,Online
Q1-00051,2023-03-20,3926,163.96,Phone
Q1-00052,2023-03-29,3995,491.93,Phone
Q1-00053,2023-01-13,4189,248.89,In-Store
Q1-00054,2023-03-01,4118,38.9,Phone
Q1-00055,2023-01-31,2479,266.85,Online
Q1-00056,2023-01-09,1096,323.08,Online
Q1-00057,2023-03-19,1157,287.61,Phone
Q1-00058,2023-02-10,1428,179.5,Online
Q1-00059,2023-01-21,2299,410.36,In-Store
Q1-00060,2023-01-16,4466,354.99,Phone
Q1-00061,2023-03-28,1920,270.7,Phone
Q1-00062,2023-01-08,921,395.74,Phone
Q1-00063,2023-01-15,1219,452.18,Online
Q1-00064,2023-03-22,908,462.59,Phone
Q1-00065,2023-01-17,1032,389.47,Phone
Q1-00066,2023-02-01,1456,83.43,In-Store
Q1-00067,2023-01-17,958,459.49,In-Store
Q1-00068,2023-02-11,69,386.38,Phone
Q1-00069,2023-02-01,204,332.54,In-Store
Q1-00070,2023-03-30,1620,189.14,Phone
Q1-00071,2023-03-24,4476,100.17,Phone
Q1-00072,2023-03-14,114,279.23,Phone
Q1-00073,2023-02-10,3173,75.34,Online
